"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048813","GO:0048813","dendrite morphogenesis","43/3320","144/18860",0.298611111111111,1.69632697456493,3.87695546295997,0.000205617988731397,0.00855063105520429,0.00755625863350899,"ABI1/ABI2/ABITRAM/ADGRB3/ANAPC2/ANKRD27/BTBD3/CAMK2B/CAPRIN1/CC2D1A/CDC42/CDK5R1/CFL1/CTNNA2/CUX2/DIP2A/DLG4/EPHB2/EPHB3/FARP1/KIF1A/KLF7/LRP8/MAPK8IP2/MAPRE3/MEF2A/MINK1/PAFAH1B1/PARP6/PICALM/PREX2/RAC1/RERE/SIPA1L1/SRCIN1/STAU2/SULT4A1/TANC2/TAOK2/TBC1D24/TMEM106B/WNT7A/YWHAH",43
"GO:0006399","GO:0006399","tRNA metabolic process","57/3320","206/18860",0.276699029126214,1.57185050883144,3.81445943490538,0.000212251575941549,0.00876685056574789,0.0077473334831581,"AARSD1/AKT1/ANKZF1/BRF1/CARS2/CTAG1A/CTAG1B/CTAG2/CTU1/DICER1/ELAC1/ELP1/ELP5/ELP6/EXOSC2/EXOSC8/FAM98A/FTSJ1/GATC/GTF3C1/GTF3C2/HSD17B10/IARS2/LAGE3/MARS2/MTFMT/NAT10/NEMF/NSUN2/POLR2E/POLR2F/POP1/POP4/POP7/PRORP/PTCD1/PUS3/PUSL1/RNH1/RPP38/RPP40/RPPH1/RTCB/SARS1/SARS2/TARBP1/TARS1/TRIT1/TRMT11/TRMT2A/TRMT9B/TSEN15/TSEN2/TSEN34/TSEN54/VARS2/YRDC",57
"GO:0031109","GO:0031109","microtubule polymerization or depolymerization","45/3320","153/18860",0.294117647058824,1.67080085046067,3.85070378375502,0.000217386803270747,0.00891869482143677,0.00788151942342264,"APC/APC2/BBOF1/BLOC1S2/CAMSAP1/CAMSAP3/CCDC88C/CDK1/CDK5R1/CEP192/CKAP2/CLASP1/CLIP3/DCTN1/DYRK1A/EML2/FBXO5/FKBP4/GBA2/HAUS3/HAUS6/HDGFL3/KIF2A/MAPRE2/MAPRE3/MAPT/MECP2/NDEL1/NUMA1/PCNT/PPP2CA/RAC1/SKA1/SKA3/SPAST/SPECC1L/SSNA1/TAOK1/TPGS2/TPPP/TTBK2/TUBG1/TUBG2/TUBGCP3/TUBGCP4",45
"GO:0051148","GO:0051148","negative regulation of muscle cell differentiation","26/3320","74/18860",0.351351351351351,1.99592966460436,3.96762149226008,0.00022677792335418,0.00924195630309402,0.00816718808879756,"BMP2/BMPR1A/BMPR2/DLL1/DNMT1/EZH2/FOXO4/FOXP1/FRS2/HDAC4/HDAC5/HEY2/ID2/IGF2/MECP2/MED28/MIR199A1/NFATC1/NFATC3/PDCD4/PPARA/PTBP1/RGS2/SMAD4/YBX1/YY1",26
"GO:1903322","GO:1903322","positive regulation of protein modification by small protein conjugation or removal","40/3320","132/18860",0.303030303030303,1.7214311792625,3.844492678207,0.00023974529117728,0.00970571499977956,0.00857701522706031,"ARRDC3/BIRC8/CDC14B/CDKN2A/CHFR/CRY1/DCUN1D2/DCUN1D4/DDX3X/DNAJA3/FZR1/HDAC4/NOD2/NPM1/NSMCE3/PAXIP1/PHF23/PIAS1/PIAS4/PINK1/PRKN/PTTG1IP/RASSF1/RASSF5/RBX1/RIPK2/RNF111/SAE1/SENP2/SPRTN/SPSB4/STUB1/TBC1D7/TOLLIP/UBA2/UBB/UBE2S/UBE2V1/UBE3A/UBQLN1",40
"GO:0006270","GO:0006270","DNA replication initiation","16/3320","37/18860",0.432432432432432,2.4565288179746,4.09900442848198,0.000248160846498651,0.00982512426772045,0.00868253811840881,"CCNE2/CDC34/CDC45/CDC6/CDT1/GMNN/KAT7/LRWD1/MCM2/MCM4/MCM6/ORC6/POLA1/POLA2/PRIM1/WRNIP1",16
"GO:0050657","GO:0050657","nucleic acid transport","48/3320","167/18860",0.287425149700599,1.63278262751605,3.79643654172807,0.000249123877228312,0.00982512426772045,0.00868253811840881,"ALKBH5/ALYREF/ATXN2/DDX25/DDX39A/DDX39B/DHX9/FMR1/FXR2/FYTTD1/G3BP2/GLE1/HNRNPA1/HSF1/IWS1/KHDRBS1/KHSRP/NSUN2/NUP107/NUP155/NUP210/NUP214/NUP50/NUP62/NXF1/PCID2/QKI/RAE1/RAN/RANBP2/RBFOX1/RBM33/SEH1L/SENP2/SLBP/SMG6/SMG7/SRSF1/THOC3/THOC6/TOMM20/UPF1/UPF2/XPO5/YBX1/YTHDC1/ZC3H3/ZFP36L1",48
"GO:0050658","GO:0050658","RNA transport","48/3320","167/18860",0.287425149700599,1.63278262751605,3.79643654172807,0.000249123877228312,0.00982512426772045,0.00868253811840881,"ALKBH5/ALYREF/ATXN2/DDX25/DDX39A/DDX39B/DHX9/FMR1/FXR2/FYTTD1/G3BP2/GLE1/HNRNPA1/HSF1/IWS1/KHDRBS1/KHSRP/NSUN2/NUP107/NUP155/NUP210/NUP214/NUP50/NUP62/NXF1/PCID2/QKI/RAE1/RAN/RANBP2/RBFOX1/RBM33/SEH1L/SENP2/SLBP/SMG6/SMG7/SRSF1/THOC3/THOC6/TOMM20/UPF1/UPF2/XPO5/YBX1/YTHDC1/ZC3H3/ZFP36L1",48
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","48/3320","167/18860",0.287425149700599,1.63278262751605,3.79643654172807,0.000249123877228312,0.00982512426772045,0.00868253811840881,"APC/APC2/ARAP1/ARHGAP28/ARHGEF18/BBOF1/CAPG/CAPZA1/CAPZA2/CARMIL2/CCDC88C/CCNF/CFL1/CKAP2/CLASP1/CLIP3/CTNNA2/CYRIB/DYRK1A/EML2/FKBP4/HDGFL3/INPP5K/KANK1/KANK2/KANK3/MDM1/MTPN/NPM1/NUBP1/PFN1/PRKN/RBM14/RHPN1/SMAD4/SPECC1L/SPTAN1/SPTBN1/SPTBN2/SPTBN4/SSH1/SSH2/SVIL/TAOK1/TMOD3/TRIM37/TTBK2/TWF2",48
"GO:0006998","GO:0006998","nuclear envelope organization","23/3320","63/18860",0.365079365079365,2.07391470644483,3.94637779333687,0.000269744878093585,0.0105701951268339,0.00934096298499512,"BROX/CDK1/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/CTDNEP1/DCTN1/EMD/ICMT/NEK6/NUP155/PAFAH1B1/PRKCA/RCC1/SPAST/TMEM170A/TMEM43/TOR1B/UBE2I/VPS4B",23
